PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=194 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=164 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=147 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=137 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=131 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=124 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=144 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=182 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=159 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=115 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=160 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=139 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=142 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=135 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=116 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=123 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=129 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=118 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=138 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=145 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=151 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=138 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=128 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=126 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=124 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=131 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=137 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=112 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=118 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=124 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=146 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=144 ms
64 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=127 ms
64 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=119 ms
64 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=141 ms
64 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=131 ms
64 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=130 ms
64 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=136 ms
64 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=140 ms
64 bytes from 10.0.0.1: icmp_seq=51 ttl=64 time=138 ms
64 bytes from 10.0.0.1: icmp_seq=52 ttl=64 time=121 ms
64 bytes from 10.0.0.1: icmp_seq=53 ttl=64 time=126 ms
64 bytes from 10.0.0.1: icmp_seq=54 ttl=64 time=142 ms
64 bytes from 10.0.0.1: icmp_seq=56 ttl=64 time=138 ms
64 bytes from 10.0.0.1: icmp_seq=57 ttl=64 time=141 ms
64 bytes from 10.0.0.1: icmp_seq=58 ttl=64 time=132 ms
64 bytes from 10.0.0.1: icmp_seq=59 ttl=64 time=145 ms
64 bytes from 10.0.0.1: icmp_seq=61 ttl=64 time=137 ms
