PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=107 ttl=64 time=148 ms
64 bytes from 10.0.0.1: icmp_seq=108 ttl=64 time=146 ms
64 bytes from 10.0.0.1: icmp_seq=109 ttl=64 time=153 ms
64 bytes from 10.0.0.1: icmp_seq=110 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=111 ttl=64 time=146 ms
64 bytes from 10.0.0.1: icmp_seq=112 ttl=64 time=158 ms
64 bytes from 10.0.0.1: icmp_seq=113 ttl=64 time=159 ms
64 bytes from 10.0.0.1: icmp_seq=114 ttl=64 time=153 ms
64 bytes from 10.0.0.1: icmp_seq=115 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=116 ttl=64 time=145 ms
64 bytes from 10.0.0.1: icmp_seq=117 ttl=64 time=141 ms
64 bytes from 10.0.0.1: icmp_seq=118 ttl=64 time=136 ms
64 bytes from 10.0.0.1: icmp_seq=119 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=120 ttl=64 time=140 ms
64 bytes from 10.0.0.1: icmp_seq=121 ttl=64 time=131 ms
64 bytes from 10.0.0.1: icmp_seq=122 ttl=64 time=139 ms
64 bytes from 10.0.0.1: icmp_seq=123 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=124 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=125 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=126 ttl=64 time=135 ms
64 bytes from 10.0.0.1: icmp_seq=128 ttl=64 time=161 ms
64 bytes from 10.0.0.1: icmp_seq=130 ttl=64 time=178 ms
64 bytes from 10.0.0.1: icmp_seq=134 ttl=64 time=158 ms
64 bytes from 10.0.0.1: icmp_seq=135 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=137 ttl=64 time=140 ms
64 bytes from 10.0.0.1: icmp_seq=138 ttl=64 time=147 ms
64 bytes from 10.0.0.1: icmp_seq=141 ttl=64 time=135 ms
64 bytes from 10.0.0.1: icmp_seq=142 ttl=64 time=155 ms
64 bytes from 10.0.0.1: icmp_seq=143 ttl=64 time=157 ms
64 bytes from 10.0.0.1: icmp_seq=144 ttl=64 time=151 ms
64 bytes from 10.0.0.1: icmp_seq=145 ttl=64 time=120 ms
64 bytes from 10.0.0.1: icmp_seq=146 ttl=64 time=133 ms
64 bytes from 10.0.0.1: icmp_seq=147 ttl=64 time=132 ms
64 bytes from 10.0.0.1: icmp_seq=148 ttl=64 time=139 ms
64 bytes from 10.0.0.1: icmp_seq=150 ttl=64 time=156 ms
64 bytes from 10.0.0.1: icmp_seq=151 ttl=64 time=132 ms
64 bytes from 10.0.0.1: icmp_seq=152 ttl=64 time=132 ms
64 bytes from 10.0.0.1: icmp_seq=153 ttl=64 time=142 ms
64 bytes from 10.0.0.1: icmp_seq=154 ttl=64 time=141 ms
64 bytes from 10.0.0.1: icmp_seq=155 ttl=64 time=154 ms
64 bytes from 10.0.0.1: icmp_seq=156 ttl=64 time=153 ms
64 bytes from 10.0.0.1: icmp_seq=157 ttl=64 time=159 ms
64 bytes from 10.0.0.1: icmp_seq=159 ttl=64 time=164 ms
64 bytes from 10.0.0.1: icmp_seq=161 ttl=64 time=138 ms
64 bytes from 10.0.0.1: icmp_seq=163 ttl=64 time=151 ms
64 bytes from 10.0.0.1: icmp_seq=168 ttl=64 time=157 ms
64 bytes from 10.0.0.1: icmp_seq=169 ttl=64 time=141 ms
64 bytes from 10.0.0.1: icmp_seq=170 ttl=64 time=169 ms
64 bytes from 10.0.0.1: icmp_seq=171 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=173 ttl=64 time=133 ms
64 bytes from 10.0.0.1: icmp_seq=174 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=175 ttl=64 time=159 ms
64 bytes from 10.0.0.1: icmp_seq=176 ttl=64 time=173 ms
64 bytes from 10.0.0.1: icmp_seq=177 ttl=64 time=154 ms
64 bytes from 10.0.0.1: icmp_seq=178 ttl=64 time=145 ms
64 bytes from 10.0.0.1: icmp_seq=179 ttl=64 time=147 ms
64 bytes from 10.0.0.1: icmp_seq=182 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=183 ttl=64 time=133 ms
64 bytes from 10.0.0.1: icmp_seq=184 ttl=64 time=147 ms
64 bytes from 10.0.0.1: icmp_seq=185 ttl=64 time=144 ms
64 bytes from 10.0.0.1: icmp_seq=186 ttl=64 time=141 ms
64 bytes from 10.0.0.1: icmp_seq=187 ttl=64 time=146 ms
64 bytes from 10.0.0.1: icmp_seq=189 ttl=64 time=148 ms
64 bytes from 10.0.0.1: icmp_seq=190 ttl=64 time=136 ms
64 bytes from 10.0.0.1: icmp_seq=191 ttl=64 time=93.7 ms
64 bytes from 10.0.0.1: icmp_seq=192 ttl=64 time=100 ms
64 bytes from 10.0.0.1: icmp_seq=193 ttl=64 time=123 ms
64 bytes from 10.0.0.1: icmp_seq=197 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=198 ttl=64 time=137 ms
64 bytes from 10.0.0.1: icmp_seq=199 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=200 ttl=64 time=134 ms
64 bytes from 10.0.0.1: icmp_seq=201 ttl=64 time=147 ms
64 bytes from 10.0.0.1: icmp_seq=202 ttl=64 time=142 ms
64 bytes from 10.0.0.1: icmp_seq=203 ttl=64 time=131 ms
64 bytes from 10.0.0.1: icmp_seq=204 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=205 ttl=64 time=146 ms
64 bytes from 10.0.0.1: icmp_seq=206 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=210 ttl=64 time=150 ms
64 bytes from 10.0.0.1: icmp_seq=211 ttl=64 time=137 ms
64 bytes from 10.0.0.1: icmp_seq=213 ttl=64 time=158 ms
64 bytes from 10.0.0.1: icmp_seq=215 ttl=64 time=151 ms
64 bytes from 10.0.0.1: icmp_seq=217 ttl=64 time=145 ms
64 bytes from 10.0.0.1: icmp_seq=218 ttl=64 time=135 ms
64 bytes from 10.0.0.1: icmp_seq=219 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=225 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=227 ttl=64 time=123 ms
64 bytes from 10.0.0.1: icmp_seq=228 ttl=64 time=139 ms
64 bytes from 10.0.0.1: icmp_seq=230 ttl=64 time=156 ms
64 bytes from 10.0.0.1: icmp_seq=231 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=232 ttl=64 time=139 ms
64 bytes from 10.0.0.1: icmp_seq=233 ttl=64 time=140 ms
64 bytes from 10.0.0.1: icmp_seq=234 ttl=64 time=150 ms
64 bytes from 10.0.0.1: icmp_seq=235 ttl=64 time=155 ms
64 bytes from 10.0.0.1: icmp_seq=236 ttl=64 time=158 ms
64 bytes from 10.0.0.1: icmp_seq=237 ttl=64 time=124 ms
64 bytes from 10.0.0.1: icmp_seq=238 ttl=64 time=130 ms
64 bytes from 10.0.0.1: icmp_seq=239 ttl=64 time=134 ms
64 bytes from 10.0.0.1: icmp_seq=240 ttl=64 time=165 ms
64 bytes from 10.0.0.1: icmp_seq=241 ttl=64 time=167 ms
64 bytes from 10.0.0.1: icmp_seq=242 ttl=64 time=154 ms
64 bytes from 10.0.0.1: icmp_seq=244 ttl=64 time=142 ms
64 bytes from 10.0.0.1: icmp_seq=245 ttl=64 time=136 ms
64 bytes from 10.0.0.1: icmp_seq=246 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=248 ttl=64 time=147 ms
64 bytes from 10.0.0.1: icmp_seq=249 ttl=64 time=138 ms
64 bytes from 10.0.0.1: icmp_seq=250 ttl=64 time=148 ms
64 bytes from 10.0.0.1: icmp_seq=251 ttl=64 time=148 ms
64 bytes from 10.0.0.1: icmp_seq=253 ttl=64 time=160 ms
64 bytes from 10.0.0.1: icmp_seq=254 ttl=64 time=134 ms
64 bytes from 10.0.0.1: icmp_seq=255 ttl=64 time=146 ms
64 bytes from 10.0.0.1: icmp_seq=256 ttl=64 time=171 ms
64 bytes from 10.0.0.1: icmp_seq=257 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=258 ttl=64 time=148 ms
64 bytes from 10.0.0.1: icmp_seq=260 ttl=64 time=153 ms
64 bytes from 10.0.0.1: icmp_seq=261 ttl=64 time=141 ms
64 bytes from 10.0.0.1: icmp_seq=263 ttl=64 time=145 ms
64 bytes from 10.0.0.1: icmp_seq=264 ttl=64 time=180 ms
64 bytes from 10.0.0.1: icmp_seq=265 ttl=64 time=170 ms
64 bytes from 10.0.0.1: icmp_seq=268 ttl=64 time=147 ms
64 bytes from 10.0.0.1: icmp_seq=270 ttl=64 time=154 ms
64 bytes from 10.0.0.1: icmp_seq=271 ttl=64 time=163 ms
64 bytes from 10.0.0.1: icmp_seq=272 ttl=64 time=185 ms
64 bytes from 10.0.0.1: icmp_seq=274 ttl=64 time=155 ms
64 bytes from 10.0.0.1: icmp_seq=278 ttl=64 time=150 ms
64 bytes from 10.0.0.1: icmp_seq=279 ttl=64 time=172 ms
64 bytes from 10.0.0.1: icmp_seq=280 ttl=64 time=160 ms
64 bytes from 10.0.0.1: icmp_seq=281 ttl=64 time=145 ms
64 bytes from 10.0.0.1: icmp_seq=282 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=283 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=284 ttl=64 time=159 ms
64 bytes from 10.0.0.1: icmp_seq=285 ttl=64 time=148 ms
64 bytes from 10.0.0.1: icmp_seq=286 ttl=64 time=179 ms
64 bytes from 10.0.0.1: icmp_seq=287 ttl=64 time=203 ms
64 bytes from 10.0.0.1: icmp_seq=289 ttl=64 time=168 ms
64 bytes from 10.0.0.1: icmp_seq=290 ttl=64 time=158 ms
64 bytes from 10.0.0.1: icmp_seq=291 ttl=64 time=94.8 ms
64 bytes from 10.0.0.1: icmp_seq=292 ttl=64 time=63.1 ms
64 bytes from 10.0.0.1: icmp_seq=293 ttl=64 time=76.7 ms
64 bytes from 10.0.0.1: icmp_seq=294 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=295 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=297 ttl=64 time=155 ms
64 bytes from 10.0.0.1: icmp_seq=298 ttl=64 time=159 ms
64 bytes from 10.0.0.1: icmp_seq=300 ttl=64 time=160 ms
64 bytes from 10.0.0.1: icmp_seq=301 ttl=64 time=153 ms
64 bytes from 10.0.0.1: icmp_seq=302 ttl=64 time=159 ms
64 bytes from 10.0.0.1: icmp_seq=303 ttl=64 time=150 ms
64 bytes from 10.0.0.1: icmp_seq=304 ttl=64 time=160 ms
64 bytes from 10.0.0.1: icmp_seq=305 ttl=64 time=168 ms
64 bytes from 10.0.0.1: icmp_seq=306 ttl=64 time=164 ms
64 bytes from 10.0.0.1: icmp_seq=307 ttl=64 time=168 ms
64 bytes from 10.0.0.1: icmp_seq=309 ttl=64 time=165 ms
64 bytes from 10.0.0.1: icmp_seq=311 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=312 ttl=64 time=168 ms
64 bytes from 10.0.0.1: icmp_seq=313 ttl=64 time=146 ms
64 bytes from 10.0.0.1: icmp_seq=314 ttl=64 time=144 ms
64 bytes from 10.0.0.1: icmp_seq=315 ttl=64 time=156 ms
64 bytes from 10.0.0.1: icmp_seq=316 ttl=64 time=151 ms
64 bytes from 10.0.0.1: icmp_seq=317 ttl=64 time=154 ms
64 bytes from 10.0.0.1: icmp_seq=318 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=319 ttl=64 time=139 ms
64 bytes from 10.0.0.1: icmp_seq=320 ttl=64 time=145 ms
64 bytes from 10.0.0.1: icmp_seq=321 ttl=64 time=148 ms
64 bytes from 10.0.0.1: icmp_seq=322 ttl=64 time=169 ms
64 bytes from 10.0.0.1: icmp_seq=323 ttl=64 time=146 ms
64 bytes from 10.0.0.1: icmp_seq=324 ttl=64 time=161 ms
64 bytes from 10.0.0.1: icmp_seq=325 ttl=64 time=157 ms
64 bytes from 10.0.0.1: icmp_seq=326 ttl=64 time=157 ms
64 bytes from 10.0.0.1: icmp_seq=327 ttl=64 time=180 ms
64 bytes from 10.0.0.1: icmp_seq=328 ttl=64 time=159 ms
64 bytes from 10.0.0.1: icmp_seq=329 ttl=64 time=133 ms
64 bytes from 10.0.0.1: icmp_seq=330 ttl=64 time=147 ms
64 bytes from 10.0.0.1: icmp_seq=331 ttl=64 time=163 ms
64 bytes from 10.0.0.1: icmp_seq=332 ttl=64 time=149 ms
64 bytes from 10.0.0.1: icmp_seq=333 ttl=64 time=169 ms
64 bytes from 10.0.0.1: icmp_seq=334 ttl=64 time=153 ms
64 bytes from 10.0.0.1: icmp_seq=339 ttl=64 time=143 ms
64 bytes from 10.0.0.1: icmp_seq=340 ttl=64 time=136 ms
64 bytes from 10.0.0.1: icmp_seq=341 ttl=64 time=145 ms
64 bytes from 10.0.0.1: icmp_seq=343 ttl=64 time=154 ms
64 bytes from 10.0.0.1: icmp_seq=345 ttl=64 time=138 ms
64 bytes from 10.0.0.1: icmp_seq=346 ttl=64 time=135 ms
64 bytes from 10.0.0.1: icmp_seq=347 ttl=64 time=135 ms
64 bytes from 10.0.0.1: icmp_seq=348 ttl=64 time=158 ms
64 bytes from 10.0.0.1: icmp_seq=349 ttl=64 time=134 ms
64 bytes from 10.0.0.1: icmp_seq=350 ttl=64 time=157 ms
64 bytes from 10.0.0.1: icmp_seq=352 ttl=64 time=144 ms
64 bytes from 10.0.0.1: icmp_seq=353 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=354 ttl=64 time=220 ms
64 bytes from 10.0.0.1: icmp_seq=356 ttl=64 time=148 ms
64 bytes from 10.0.0.1: icmp_seq=357 ttl=64 time=141 ms
64 bytes from 10.0.0.1: icmp_seq=358 ttl=64 time=145 ms
64 bytes from 10.0.0.1: icmp_seq=359 ttl=64 time=148 ms
64 bytes from 10.0.0.1: icmp_seq=360 ttl=64 time=138 ms
