PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=106 ttl=64 time=134 ms
64 bytes from 10.0.0.1: icmp_seq=107 ttl=64 time=108 ms
64 bytes from 10.0.0.1: icmp_seq=108 ttl=64 time=139 ms
64 bytes from 10.0.0.1: icmp_seq=109 ttl=64 time=171 ms
64 bytes from 10.0.0.1: icmp_seq=110 ttl=64 time=185 ms
64 bytes from 10.0.0.1: icmp_seq=111 ttl=64 time=207 ms
64 bytes from 10.0.0.1: icmp_seq=113 ttl=64 time=185 ms
64 bytes from 10.0.0.1: icmp_seq=114 ttl=64 time=191 ms
64 bytes from 10.0.0.1: icmp_seq=115 ttl=64 time=165 ms
64 bytes from 10.0.0.1: icmp_seq=116 ttl=64 time=187 ms
64 bytes from 10.0.0.1: icmp_seq=117 ttl=64 time=201 ms
64 bytes from 10.0.0.1: icmp_seq=118 ttl=64 time=175 ms
64 bytes from 10.0.0.1: icmp_seq=119 ttl=64 time=173 ms
64 bytes from 10.0.0.1: icmp_seq=120 ttl=64 time=195 ms
64 bytes from 10.0.0.1: icmp_seq=122 ttl=64 time=218 ms
64 bytes from 10.0.0.1: icmp_seq=124 ttl=64 time=210 ms
64 bytes from 10.0.0.1: icmp_seq=125 ttl=64 time=205 ms
64 bytes from 10.0.0.1: icmp_seq=126 ttl=64 time=191 ms
64 bytes from 10.0.0.1: icmp_seq=127 ttl=64 time=173 ms
64 bytes from 10.0.0.1: icmp_seq=129 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=130 ttl=64 time=132 ms
64 bytes from 10.0.0.1: icmp_seq=131 ttl=64 time=138 ms
64 bytes from 10.0.0.1: icmp_seq=132 ttl=64 time=144 ms
64 bytes from 10.0.0.1: icmp_seq=134 ttl=64 time=156 ms
64 bytes from 10.0.0.1: icmp_seq=135 ttl=64 time=160 ms
64 bytes from 10.0.0.1: icmp_seq=136 ttl=64 time=142 ms
64 bytes from 10.0.0.1: icmp_seq=137 ttl=64 time=123 ms
64 bytes from 10.0.0.1: icmp_seq=138 ttl=64 time=130 ms
64 bytes from 10.0.0.1: icmp_seq=139 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=140 ttl=64 time=150 ms
64 bytes from 10.0.0.1: icmp_seq=142 ttl=64 time=169 ms
64 bytes from 10.0.0.1: icmp_seq=143 ttl=64 time=142 ms
64 bytes from 10.0.0.1: icmp_seq=145 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=146 ttl=64 time=141 ms
64 bytes from 10.0.0.1: icmp_seq=147 ttl=64 time=155 ms
64 bytes from 10.0.0.1: icmp_seq=148 ttl=64 time=177 ms
64 bytes from 10.0.0.1: icmp_seq=149 ttl=64 time=175 ms
64 bytes from 10.0.0.1: icmp_seq=150 ttl=64 time=213 ms
64 bytes from 10.0.0.1: icmp_seq=151 ttl=64 time=219 ms
64 bytes from 10.0.0.1: icmp_seq=152 ttl=64 time=192 ms
64 bytes from 10.0.0.1: icmp_seq=153 ttl=64 time=208 ms
64 bytes from 10.0.0.1: icmp_seq=154 ttl=64 time=210 ms
64 bytes from 10.0.0.1: icmp_seq=155 ttl=64 time=207 ms
64 bytes from 10.0.0.1: icmp_seq=156 ttl=64 time=189 ms
64 bytes from 10.0.0.1: icmp_seq=157 ttl=64 time=171 ms
64 bytes from 10.0.0.1: icmp_seq=158 ttl=64 time=192 ms
64 bytes from 10.0.0.1: icmp_seq=159 ttl=64 time=181 ms
64 bytes from 10.0.0.1: icmp_seq=160 ttl=64 time=195 ms
64 bytes from 10.0.0.1: icmp_seq=161 ttl=64 time=225 ms
64 bytes from 10.0.0.1: icmp_seq=162 ttl=64 time=195 ms
64 bytes from 10.0.0.1: icmp_seq=163 ttl=64 time=178 ms
64 bytes from 10.0.0.1: icmp_seq=164 ttl=64 time=159 ms
64 bytes from 10.0.0.1: icmp_seq=165 ttl=64 time=165 ms
64 bytes from 10.0.0.1: icmp_seq=166 ttl=64 time=180 ms
64 bytes from 10.0.0.1: icmp_seq=167 ttl=64 time=187 ms
64 bytes from 10.0.0.1: icmp_seq=168 ttl=64 time=201 ms
64 bytes from 10.0.0.1: icmp_seq=169 ttl=64 time=181 ms
64 bytes from 10.0.0.1: icmp_seq=170 ttl=64 time=170 ms
64 bytes from 10.0.0.1: icmp_seq=171 ttl=64 time=201 ms
64 bytes from 10.0.0.1: icmp_seq=172 ttl=64 time=207 ms
64 bytes from 10.0.0.1: icmp_seq=173 ttl=64 time=221 ms
64 bytes from 10.0.0.1: icmp_seq=174 ttl=64 time=218 ms
64 bytes from 10.0.0.1: icmp_seq=175 ttl=64 time=183 ms
64 bytes from 10.0.0.1: icmp_seq=176 ttl=64 time=188 ms
64 bytes from 10.0.0.1: icmp_seq=177 ttl=64 time=186 ms
64 bytes from 10.0.0.1: icmp_seq=178 ttl=64 time=224 ms
64 bytes from 10.0.0.1: icmp_seq=179 ttl=64 time=213 ms
64 bytes from 10.0.0.1: icmp_seq=181 ttl=64 time=176 ms
64 bytes from 10.0.0.1: icmp_seq=182 ttl=64 time=182 ms
64 bytes from 10.0.0.1: icmp_seq=183 ttl=64 time=196 ms
64 bytes from 10.0.0.1: icmp_seq=184 ttl=64 time=195 ms
64 bytes from 10.0.0.1: icmp_seq=185 ttl=64 time=203 ms
64 bytes from 10.0.0.1: icmp_seq=186 ttl=64 time=193 ms
64 bytes from 10.0.0.1: icmp_seq=187 ttl=64 time=188 ms
64 bytes from 10.0.0.1: icmp_seq=188 ttl=64 time=186 ms
64 bytes from 10.0.0.1: icmp_seq=189 ttl=64 time=200 ms
64 bytes from 10.0.0.1: icmp_seq=190 ttl=64 time=198 ms
64 bytes from 10.0.0.1: icmp_seq=191 ttl=64 time=187 ms
64 bytes from 10.0.0.1: icmp_seq=192 ttl=64 time=160 ms
64 bytes from 10.0.0.1: icmp_seq=193 ttl=64 time=87.5 ms
64 bytes from 10.0.0.1: icmp_seq=194 ttl=64 time=74.8 ms
64 bytes from 10.0.0.1: icmp_seq=195 ttl=64 time=96.5 ms
64 bytes from 10.0.0.1: icmp_seq=196 ttl=64 time=152 ms
64 bytes from 10.0.0.1: icmp_seq=197 ttl=64 time=189 ms
64 bytes from 10.0.0.1: icmp_seq=198 ttl=64 time=251 ms
64 bytes from 10.0.0.1: icmp_seq=199 ttl=64 time=232 ms
64 bytes from 10.0.0.1: icmp_seq=200 ttl=64 time=204 ms
64 bytes from 10.0.0.1: icmp_seq=201 ttl=64 time=177 ms
64 bytes from 10.0.0.1: icmp_seq=202 ttl=64 time=166 ms
64 bytes from 10.0.0.1: icmp_seq=203 ttl=64 time=204 ms
64 bytes from 10.0.0.1: icmp_seq=204 ttl=64 time=202 ms
64 bytes from 10.0.0.1: icmp_seq=205 ttl=64 time=190 ms
64 bytes from 10.0.0.1: icmp_seq=206 ttl=64 time=180 ms
64 bytes from 10.0.0.1: icmp_seq=207 ttl=64 time=210 ms
