1766184391.460190,0
1766184391.565794,6
1766184391.670989,9
1766184391.778931,8
1766184391.882856,9
1766184391.986731,9
1766184392.091765,8
1766184392.198614,12
1766184392.303572,7
1766184392.408879,5
1766184392.517469,8
1766184392.633188,5
1766184392.738142,8
1766184392.842287,7
1766184392.986675,6
1766184393.093709,9
1766184393.198106,7
1766184393.315420,8
1766184393.419520,9
1766184393.532203,8
1766184393.642348,10
1766184393.748678,9
1766184393.852277,9
1766184393.983756,8
1766184394.087361,8
1766184394.208148,10
1766184394.312245,10
1766184394.418676,10
1766184394.525071,11
1766184394.628832,10
1766184394.735453,10
1766184394.869744,8
1766184394.973655,9
1766184395.080694,9
1766184395.184774,9
1766184395.288849,9
1766184395.393237,9
1766184395.501056,10
1766184395.605238,11
1766184395.712006,9
1766184395.815057,10
1766184395.918206,10
1766184396.025568,9
1766184396.129387,11
1766184396.233660,10
1766184396.337291,10
1766184396.447899,11
1766184396.555500,8
1766184396.659432,11
1766184396.766203,11
1766184396.871097,10
1766184396.974806,11
1766184397.081593,10
1766184397.191737,9
1766184397.295274,10
1766184397.402675,10
1766184397.512243,10
1766184397.616580,9
1766184397.721595,10
1766184397.824926,9
1766184397.931672,8
1766184398.035815,10
1766184398.140607,9
1766184398.243996,10
1766184398.348031,10
1766184398.451433,10
1766184398.558927,9
1766184398.662864,8
1766184398.768124,8
1766184398.873892,9
1766184398.977410,8
1766184399.080814,9
1766184399.189157,10
1766184399.292675,8
1766184399.396818,8
1766184399.499920,9
1766184399.603388,8
1766184399.711370,8
1766184399.816364,10
1766184399.923869,9
1766184400.036281,8
1766184400.174880,10
1766184400.288564,10
1766184400.398222,9
1766184400.536247,9
1766184400.648139,8
1766184400.751162,8
1766184400.857172,9
1766184400.961723,9
1766184401.068888,8
1766184401.188760,9
1766184401.333138,9
1766184401.472100,9
1766184401.598084,9
1766184401.799698,3
1766184401.903962,1
1766184402.009085,1
1766184402.118794,2
1766184402.264005,4
1766184402.368187,5
1766184402.472706,7
1766184402.581497,8
1766184402.686624,9
1766184402.793750,9
1766184402.898838,10
1766184403.006370,9
1766184403.114277,10
1766184403.218854,8
1766184403.327324,11
1766184403.433672,10
1766184403.539815,12
1766184403.646588,12
1766184403.751508,12
1766184403.855260,11
1766184403.959188,11
1766184404.067787,10
1766184404.172189,8
1766184404.287673,8
1766184404.402715,10
1766184404.506357,9
1766184404.616961,9
1766184404.740386,7
1766184404.864065,7
1766184404.970551,9
1766184405.075758,9
1766184405.180554,7
1766184405.286785,8
1766184405.390441,7
1766184405.496124,7
1766184405.602064,7
1766184405.706906,8
1766184405.811344,6
1766184405.915971,7
1766184406.022532,8
1766184406.126635,8
1766184406.230529,8
1766184406.335732,8
1766184406.439987,9
1766184406.543868,8
1766184406.648619,9
1766184406.753069,9
1766184406.857530,9
1766184406.962367,8
1766184407.066704,8
1766184407.170998,8
1766184407.275292,7
1766184407.378696,8
1766184407.483268,8
1766184407.587553,9
1766184407.691416,8
1766184407.795563,8
1766184407.898869,9
1766184408.001976,9
1766184408.105236,9
1766184408.208724,9
1766184408.312941,8
1766184408.417209,7
1766184408.521734,8
1766184408.625946,9
1766184408.729950,8
1766184408.833648,7
1766184408.937194,8
1766184409.040743,8
1766184409.154814,8
1766184409.259059,9
1766184409.363426,8
1766184409.467416,9
1766184409.572189,8
1766184409.677550,8
1766184409.782305,9
1766184409.886491,8
1766184409.990839,9
1766184410.094901,8
1766184410.198669,8
1766184410.302346,8
1766184410.406771,8
1766184410.511001,9
1766184410.614900,9
1766184410.718849,9
1766184410.823081,9
1766184410.927345,9
1766184411.031968,8
1766184411.136175,9
1766184411.240525,8
1766184411.344292,8
1766184411.448908,8
1766184411.554438,8
1766184411.658369,8
1766184411.762554,8
1766184411.867050,7
1766184411.971544,8
1766184412.074939,6
1766184412.178846,1
1766184412.283716,1
1766184412.388554,2
1766184412.493190,4
1766184412.596734,6
1766184412.700933,8
1766184412.805484,9
1766184412.909102,9
1766184413.012528,10
1766184413.116174,10
1766184413.221158,10
1766184413.324950,10
1766184413.428716,11
1766184413.533003,11
1766184413.637429,11
1766184413.741364,11
1766184413.846355,11
1766184413.950933,10
1766184414.054520,10
1766184414.157823,10
1766184414.261141,7
1766184414.365356,8
1766184414.469410,8
1766184414.573726,8
1766184414.677635,8
1766184414.781483,8
1766184414.885367,8
1766184414.988677,9
1766184415.092362,8
1766184415.196556,8
1766184415.300968,8
1766184415.404715,8
1766184415.507895,9
1766184415.611370,7
1766184415.714589,8
1766184415.818970,8
1766184415.923022,8
1766184416.027123,8
1766184416.131313,8
1766184416.234768,8
1766184416.337795,8
1766184416.442189,8
1766184416.545723,8
1766184416.649141,8
1766184416.752684,8
